LMT_Connect_UUT,,Equal,Enable,,OK,
LMT_Software_Version,,NC,Enable,,,
LMT_Write_SKU_file,,Equal,Enable,,succesfully,
LMT_SKU_file_name,,NC,Enable,,,
Connect_UUT_DDM,,Equal,Enable,,PASS,
Read_DDM_EOL_Timestamp_Mode,,Equal,Enable,,EOL,
Read_DDM_EOL_Timestamp_Timestamp,,NotEqual,Enable,,4294967295,
Read_DDM_EOL_Timestamp_Rig_ID,,NC,Enable,,,
Read_DDM_EOL_Timestamp_Passmark_ID,,NC,Enable,,,
Read_DDM_EOL_Timestamp_Passmark_Rev,,NC,Enable,,,
Software_Version_before_flashing,,Equal,Enable,,DDM_SP.07.03.011.0218,
Read_Hardware_Serial,,NC,Enable,,,
UUT_DDM_SN,,NC,Enable,,,
Compare_DDM_SN_with_MES_SN,,Equal,Enable,,PASS,
Backup_PCBA_Calibration_EEPROM_Response_CAL,,NC,Enable,,,
Flash_Firmware_Version,,Equal,Enable,,PASS,
Check_SW_Version,,Equal,Enable,,DDM_SP.07.03.011.0218,
Read_DDM_SW_Version_after_flashing,,Equal,Enable,,DDM_SP.07.03.011.0218,
Set_SKU_Config,,NC,Enable,,,
Ready_Status,,Equal,Enable,,PASS,
Set_Device_Mode_to_EOL,,Equal,Enable,,EOL,
DDM_Parameter_Voltage,V,GELE,Enable,24,,26
DDM_Parameter_Current,A,GELE,Enable,0,,0.5
DDM_Parameter_Power,W,GELE,Enable,0,,9
DDM_Parameter_Speed,Krpm,GELE,Enable,0,,1
DDM_Parameter_Pressure,kPa,GELE,Enable,80,,106
Tester_Parameter_Voltage,V,GELE,Enable,24,,26
Tester_Parameter_Current,A,GELE,Enable,0,,0.5
Tester_Parameter_Power,W,GELE,Enable,0,,9
Tester_Parameter_Ambient_Pressure,kPa,GELE,Enable,91.3,,106
Tester_Parameter_Ambient_Temperature,degC,GELE,Enable,20,,28
Calculated_Parameter_DDM_Pressure_Corrected,kPa,GELE,Enable,58.3,,110.3
Calculated_Parameter_DDM_Real_Power,W,GELE,Enable,0,,9
Calculated_Parameter_Delta_V,V,GELE,Enable,-0.2,,0.2
Calibration_Result_eol_cold_bemf_temp,,NC,Enable,,-1,
DDM_Ambient_Temp,mdegC,NC,Enable,,,
Restriction_Plate_Diameter,mm,Equal,Enable,,13,
Get_Calibration_Result_eol_bemf_mp_cold_coef_a,,NC,Enable,,,
Get_Calibration_Result_eol_bemf_mp_cold_coef_b,,NC,Enable,,,
Get_Calibration_Result_eol_bemf_mp_cold_coef_c,,NC,Enable,,,
Get_Calibration_Result_eol_bemf_lsi_cold_ref_coeffs,,NC,Enable,,,
Get_Calibration_Result_eol_bemf_lsi_speed,,NC,Enable,,,
Get_Calibration_Result_eol_bemf_lsi_integral_0,,NC,Enable,,,
Get_Calibration_Result_eol_bemf_lsi_integral_1,,NC,Enable,,,
Get_Calibration_Result_eol_bemf_lsi_integral_2,,NC,Enable,,,
Get_Calibration_Result_eol_cold_bemf,,GELE,Enable,16210,,17210
Get_Calibration_Result_eol_cold_bemf_fisf,,GELE,Enable,15990,,16990
Finalise_Calibration,,Equal,Enable,,PASS,
Compare_Calibration_Result_eol_cold_bemf,,Equal,Enable,,PASS,
Compare_Calibration_Result_eol_cold_bemf_fisf,,Equal,Enable,,PASS,
Reset_Power_Tune,,Equal,Enable,,PASS,
Reset_BEMF_FISF_Calibration,,Equal,Enable,,PASS,
Restriction_Plate_Diameter,mm,Equal,Enable,,13,
ECO_Stabilisation_Time,,NC,Enable,,,
ECO_DDM_Parameter_Voltage,V,GELE,Enable,24,,26
ECO_DDM_Parameter_Current,A,GELE,Enable,2.7,,3.5
ECO_DDM_Parameter_Power,W,Equal,Enable,,75,
ECO_DDM_Parameter_Measured_Power,W,GELE,Enable,68.2,,81.8
ECO_DDM_Parameter_Speed,Krpm,NC,Enable,55.27,,59.33
ECO_DDM_Parameter_Pressure,kPa,NC,Enable,94.6,,96.7
ECO_Tester_Parameter_Voltage,V,GELE,Enable,24,,26
ECO_Tester_Parameter_Current,A,GELE,Enable,2.7,,3.5
ECO_Tester_Parameter_Power,W,GELE,Enable,68.2,,81.8
ECO_Tester_Parameter_Ambient_Pressure,kPa,GELE,Enable,91.3,,106
ECO_Tester_Parameter_Ambient_Temperature,degC,GELE,Enable,20,,28
ECO_Tester_Parameter_Ambient_Humidity,%,GELE,Enable,30,,80
ECO_Calculated_Parameter_DDM_Pressure_Corrected,kPa,NC,Enable,,,
ECO_Calculated_Parameter_DDM_Real_Power,W,GELE,Enable,68.2,,81.8
ECO_Calculated_Parameter_Delta_V,V,GELE,Enable,-0.2,,0.2
ECO_Calculated_Parameter_Flowrate,l/min,NC,Enable,5.9,,6.8
ECO_Calculated_Parameter_Airwatt,AW,NC,Enable,20,,29.6
ECO_Formula,,NC,Enable,,,
PT_ECO_Power_Tune_Mode_Status,,Equal,Enable,,PASS,
Restriction_Plate_Diameter,mm,Equal,Enable,,13,
BOOST_Stabilisation_Time,,NC,Enable,,,
BOOST_DDM_Parameter_Voltage,V,GELE,Enable,24,,26
BOOST_DDM_Parameter_Current,A,GELE,Enable,16.6,,19.5
BOOST_DDM_Parameter_Power,W,Equal,Enable,,450,
BOOST_DDM_Parameter_Measured_Power,W,GELE,Enable,433,,466
BOOST_DDM_Parameter_Speed,Krpm,NC,Enable,106.8,,110.4
BOOST_DDM_Parameter_Pressure,kPa,NC,Enable,80,,84
BOOST_Tester_Parameter_Voltage,V,GELE,Enable,24,,26
BOOST_Tester_Parameter_Current,A,GELE,Enable,16.6,,19.5
BOOST_Tester_Parameter_Power,W,GELE,Enable,433,,466
BOOST_Tester_Parameter_Ambient_Pressure,kPa,GELE,Enable,91.3,,106
BOOST_Tester_Parameter_Ambient_Temperature,degC,GELE,Enable,20,,28
BOOST_Tester_Parameter_Ambient_Humidity,%,GELE,Enable,30,,80
BOOST_Calculated_Parameter_DDM_Pressure_Corrected,kPa,NC,Enable,,,
BOOST_Calculated_Parameter_DDM_Real_Power,W,GELE,Enable,433,,466
BOOST_Calculated_Parameter_Delta_V,V,GELE,Enable,-0.2,,0.2
BOOST_Calculated_Parameter_Flowrate,l/min,NC,Enable,11.78,,12.55
BOOST_Calculated_Parameter_Airwatt,AW,NC,Enable,164.4,,201.3
BOOST_Get_AM_Presence,,Equal,Enable,,1,
