Connect_UUT_DDM,,Equal,Enable,,PASS,
Read_Hardware_Serial,,NC,Enable,,,
Check_SW_Version,,Equal,Enable,,DDM_SP.07.03.011.0218,
Set_SKU_Config,,NC,Enable,,,
Set_Device_Mode_to_EOL,,Equal,Enable,,EOL,
Restriction_Plate_Diameter,mm,Equal,Enable,,12.7,
ECO_Stabilisation_Time,,NC,Enable,,,
ECO_DDM_Parameter_Voltage,V,GELE,Enable,24,,26
ECO_DDM_Parameter_Current,A,GELE,Enable,2.7,,3.5
ECO_DDM_Parameter_Power,W,Equal,Enable,,75,
ECO_DDM_Parameter_Measured_Power,W,GELE,Enable,68.2,,81.8
ECO_DDM_Parameter_Speed,Krpm,NC,Enable,55.27,,59.33
ECO_DDM_Parameter_Pressure,kPa,NC,Enable,94.6,,96.7
ECO_Tester_Parameter_Voltage,V,GELE,Enable,24,,26
ECO_Tester_Parameter_Current,A,GELE,Enable,2.7,,3.5
ECO_Tester_Parameter_Power,W,GELE,Enable,68.2,,81.8
ECO_Tester_Parameter_Ambient_Pressure,kPa,GELE,Enable,91.3,,106
ECO_Tester_Parameter_Ambient_Temperature,degC,GELE,Enable,20,,28
ECO_Tester_Parameter_Ambient_Humidity,%,GELE,Enable,30,,80
ECO_Calculated_Parameter_DDM_Pressure_Corrected,kPa,NC,Enable,,,
ECO_Calculated_Parameter_DDM_Real_Power,W,GELE,Enable,68.2,,81.8
ECO_Calculated_Parameter_Delta_V,V,GELE,Enable,-0.2,,0.2
ECO_Calculated_Parameter_Flowrate,l/min,NC,Enable,5.9,,6.8
ECO_Calculated_Parameter_Airwatt,AW,NC,Enable,20,,29.6
ECO_Formula,,NC,Enable,,,
Restriction_Plate_Diameter,mm,Equal,Enable,,12.7,
BOOST_Stabilisation_Time,,NC,Enable,,,
BOOST_DDM_Parameter_Voltage,V,GELE,Enable,24,,26
BOOST_DDM_Parameter_Current,A,GELE,Enable,16.6,,19.5
BOOST_DDM_Parameter_Power,W,Equal,Enable,,450,
BOOST_DDM_Parameter_Measured_Power,W,GELE,Enable,433,,466
BOOST_DDM_Parameter_Speed,Krpm,NC,Enable,106.8,,110.4
BOOST_DDM_Parameter_Pressure,kPa,NC,Enable,80,,84
BOOST_Tester_Parameter_Voltage,V,GELE,Enable,24,,26
BOOST_Tester_Parameter_Current,A,GELE,Enable,16.6,,19.5
BOOST_Tester_Parameter_Power,W,GELE,Enable,433,,466
BOOST_Tester_Parameter_Ambient_Pressure,kPa,GELE,Enable,91.3,,106
BOOST_Tester_Parameter_Ambient_Temperature,degC,GELE,Enable,20,,28
BOOST_Tester_Parameter_Ambient_Humidity,%,GELE,Enable,30,,80
BOOST_Calculated_Parameter_DDM_Pressure_Corrected,kPa,NC,Enable,,,
BOOST_Calculated_Parameter_DDM_Real_Power,W,GELE,Enable,433,,466
BOOST_Calculated_Parameter_Delta_V,V,GELE,Enable,-0.2,,0.2
BOOST_Calculated_Parameter_Flowrate,l/min,NC,Enable,11.78,,12.55
BOOST_Calculated_Parameter_Airwatt,AW,NC,Enable,164.4,,201.3
Restriction_Plate_Diameter,mm,Equal,Enable,,12.7,
MAX_Stabilisation_Time,,NC,Enable,,,
MAX_DDM_Parameter_Voltage,V,GELE,Enable,24,,26
MAX_DDM_Parameter_Current,A,GELE,Enable,33.9,,38.25
MAX_DDM_Parameter_Power,W,Equal,Enable,,900,
MAX_DDM_Parameter_Measured_Power,W,GELE,Enable,882,,918
MAX_DDM_Parameter_Speed,Krpm,NC,Enable,137.5,,144.3
MAX_DDM_Parameter_Pressure,kPa,NC,Enable,69,,75
MAX_Tester_Parameter_Voltage,V,GELE,Enable,24,,26
MAX_Tester_Parameter_Current,A,GELE,Enable,33.9,,38.25
MAX_Tester_Parameter_Power,W,GELE,Enable,882,,918
MAX_Tester_Parameter_Ambient_Pressure,kPa,GELE,Enable,91.3,,106
MAX_Tester_Parameter_Ambient_Temperature,degC,GELE,Enable,20,,28
MAX_Tester_Parameter_Ambient_Humidity,%,GELE,Enable,30,,80
MAX_Calculated_Parameter_DDM_Pressure_Corrected,kPa,NC,Enable,,,
MAX_Calculated_Parameter_DDM_Real_Power,W,GELE,Enable,882,,918
MAX_Calculated_Parameter_Delta_V,V,GELE,Enable,-0.2,,0.2
MAX_Calculated_Parameter_Flowrate,l/min,NC,Enable,,,
MAX_Calculated_Parameter_Airwatt,AW,NC,Enable,318,,
Set_Device_Mode_to_FCT,,Equal,Enable,,FCT,
Disconnect_UUT,,NC,Enable,,,
